sequence,arm,started_at_ms,t_request_ms,t_ready_ms,session_age_ms,error
0,A,0.0,157.204,0.000,0.000,
1,B,189.2,0.601,100.103,100.103,
2,A,322.5,159.957,0.000,0.000,
3,B,513.9,0.757,100.065,100.065,
4,B,646.0,100.894,100.062,100.063,
5,C,880.3,0.474,100.859,100.859,
6,C,1017.5,0.439,96.437,96.437,
7,B,1146.5,100.800,100.072,100.072,
8,B,1378.5,0.609,100.065,100.065,
9,A,1513.6,152.587,0.000,0.000,
10,C,1700.8,102.422,95.236,95.236,
11,B,1931.4,100.654,100.066,100.066,
12,B,2166.7,100.925,100.073,100.073,
13,C,2400.1,0.533,92.666,92.666,
14,B,2528.6,100.594,100.069,100.069,
15,B,2761.9,100.798,100.101,100.102,
16,C,2994.3,0.450,96.394,96.394,
17,C,3126.5,0.419,90.371,90.372,
18,A,3248.4,155.039,0.000,0.000,
19,C,3435.3,0.415,92.510,92.510,
20,B,3560.4,0.647,100.084,100.084,
21,C,3693.5,0.344,91.297,91.298,
22,C,3816.2,0.490,93.231,93.232,
23,C,3941.6,0.501,98.012,98.013,
24,C,4072.6,0.384,92.301,92.302,
25,C,4197.4,102.277,94.859,94.859,
26,B,4431.5,0.611,100.063,100.064,
27,A,4568.8,150.160,0.000,0.000,
28,C,4749.7,0.258,96.732,96.732,
29,B,4879.2,100.743,100.065,100.066,
30,B,5111.7,0.728,100.068,100.068,
31,A,5245.0,151.547,0.000,0.000,
32,B,5428.7,0.625,100.068,100.068,
33,B,5564.3,0.644,100.067,100.068,
34,A,5695.9,151.459,0.000,0.000,
35,C,5880.9,0.448,97.760,97.761,
36,C,6012.5,0.407,101.131,101.131,
37,A,6145.4,156.656,0.000,0.000,
38,A,6334.2,153.249,0.000,0.000,
39,B,6518.7,0.844,100.067,100.068,
40,A,6651.6,162.686,0.000,0.001,
41,C,6849.1,100.700,99.634,99.635,
42,B,7084.9,0.726,100.061,100.061,
43,B,7217.3,100.922,100.068,100.069,
44,B,7453.3,0.603,100.062,100.063,
45,C,7586.3,0.278,90.862,90.862,
46,B,7709.1,100.844,100.070,100.070,
47,A,7941.0,155.229,0.000,0.000,
48,A,8128.7,159.258,0.000,0.000,
49,B,8324.0,100.788,100.069,100.070,
50,A,8556.1,155.528,0.000,0.001,
51,C,8744.1,0.424,100.436,100.436,
52,B,8880.3,0.735,100.074,100.074,
53,B,9011.8,100.833,100.067,100.068,
54,C,9249.5,100.412,91.513,91.513,
55,B,9473.4,0.612,100.065,100.065,
56,B,9606.3,0.560,100.063,100.063,
57,B,9740.0,0.621,100.061,100.061,
58,C,9871.9,0.345,94.800,94.801,
59,B,10002.2,0.519,100.061,100.062,
60,C,10135.5,100.472,95.593,95.593,
61,B,10362.6,100.889,100.070,100.071,
62,C,10597.9,0.338,98.870,98.870,
63,A,10728.3,153.312,0.000,0.000,
64,A,10915.1,150.145,0.000,0.000,
65,B,11096.4,100.860,100.067,100.067,
66,B,11330.6,100.701,100.061,100.061,
