sequence,arm,started_at_ms,t_request_ms,t_ready_ms,session_age_ms,error
0,B,0.0,100.763,100.070,100.071,
1,B,234.5,100.909,100.073,100.073,
2,A,466.6,154.057,0.000,0.000,
3,A,653.2,168.583,0.000,0.000,
4,C,857.4,0.345,101.679,101.679,
5,C,995.9,0.504,93.844,93.844,
6,B,1122.2,0.790,100.070,100.070,
7,B,1258.6,0.795,100.063,100.063,
8,A,1392.1,165.062,0.000,0.000,
9,C,1589.5,0.393,101.278,101.278,
10,B,1727.0,100.621,100.063,100.064,
11,B,1961.9,0.581,100.064,100.064,
12,B,2095.9,0.790,100.067,100.067,
13,C,2227.7,0.393,83.825,83.825,
14,A,2343.9,148.722,0.000,0.000,
15,B,2525.2,0.742,100.069,100.069,
16,B,2659.9,0.589,100.063,100.063,
17,B,2794.4,100.714,100.067,100.067,
18,B,3027.2,100.825,100.041,100.041,
19,A,3263.2,153.485,0.000,0.000,
20,C,3448.2,0.398,90.774,90.774,
21,A,3575.0,156.636,0.000,0.000,
22,A,3763.5,154.489,0.000,0.000,
23,A,3950.9,143.086,0.000,0.000,
24,C,4129.6,0.370,95.631,95.631,
25,B,4257.0,0.759,100.068,100.068,
26,B,4395.5,0.833,100.069,100.069,
27,A,4532.9,164.639,0.000,0.000,
28,C,4734.4,0.231,89.624,89.624,
29,C,4860.7,0.378,97.621,97.622,
30,A,4989.9,157.354,0.000,0.001,
31,B,5181.7,0.630,100.066,100.066,
32,B,5316.8,100.910,100.068,100.069,
33,A,5549.8,157.322,0.000,0.000,
34,C,5743.8,0.371,98.321,98.321,
35,C,5875.9,0.483,96.949,96.949,
36,C,6007.2,0.487,102.605,102.606,
37,A,6145.1,151.212,0.000,0.000,
38,C,6332.0,100.450,101.870,101.870,
39,B,6572.0,100.656,100.064,100.064,
40,B,6803.4,0.621,100.064,100.065,
41,B,6934.9,0.572,100.061,100.061,
42,C,7066.4,0.473,100.969,100.970,
43,B,7199.1,0.559,100.063,100.063,
44,C,7333.7,0.396,100.105,100.105,
45,B,7465.0,0.823,100.066,100.066,
46,B,7599.9,101.404,100.083,100.084,
47,B,7834.6,100.614,100.063,100.063,
48,B,8069.5,100.753,100.062,100.063,
49,A,8301.3,156.175,0.000,0.000,
50,B,8491.2,0.530,100.062,100.063,
51,C,8624.5,0.433,102.039,102.040,
52,B,8758.1,0.658,100.066,100.066,
53,B,8890.5,100.612,100.059,100.059,
54,A,9127.0,162.208,0.000,0.000,
55,A,9319.9,161.621,0.000,0.000,
56,A,9519.0,149.515,0.000,0.001,
57,C,9704.1,0.363,94.470,94.471,
58,C,9831.9,0.327,97.993,97.993,
59,A,9962.9,154.781,0.000,0.000,
60,C,10149.0,0.427,94.507,94.507,
61,C,10276.0,100.543,97.972,97.972,
62,A,10508.2,152.535,0.000,0.000,
63,C,10697.2,0.461,91.405,91.405,
64,B,10825.0,100.933,100.069,100.070,
65,A,11058.3,155.920,0.000,0.000,
66,C,11249.2,0.440,90.480,90.480,
67,A,11371.2,156.331,0.000,0.000,
68,A,11559.7,162.653,0.000,0.000,
69,B,11754.9,0.596,100.062,100.062,
70,C,11887.8,0.470,99.505,99.505,
71,B,12019.1,0.662,100.063,100.063,
72,A,12150.9,161.136,0.000,0.000,
73,B,12343.5,0.747,100.067,100.067,
74,C,12478.6,0.252,94.860,94.860,
75,C,12608.8,100.479,94.298,94.298,
76,B,12835.1,100.624,100.062,100.062,
77,C,13066.6,0.423,97.271,97.272,
78,B,13196.1,0.595,100.033,100.034,
79,B,13330.1,0.676,100.068,100.068,
80,B,13462.1,0.634,100.064,100.064,
81,C,13596.2,100.759,105.489,105.489,
82,C,13833.6,0.322,98.768,98.768,
83,B,13964.8,0.660,100.024,100.024,
84,C,14099.4,100.432,100.061,100.061,
85,A,14331.0,156.117,0.000,0.000,
86,B,14519.2,0.569,100.066,100.067,
87,C,14653.3,0.360,89.611,89.611,
88,A,14774.9,157.026,0.000,0.001,
89,A,14964.8,165.853,0.000,0.000,
90,B,15163.5,100.847,100.064,100.064,
91,A,15395.7,155.758,0.000,0.000,
92,A,15582.8,165.557,0.000,0.000,
93,A,15783.8,160.960,0.000,0.000,
94,B,15976.4,0.566,100.064,100.064,
95,A,16110.1,154.920,0.000,0.000,
96,A,16296.6,161.558,0.000,0.000,
97,A,16493.9,156.028,0.000,0.000,
98,C,16684.0,0.447,95.851,95.851,
99,B,16815.0,0.621,100.064,100.065,
100,B,16948.4,0.642,100.063,100.064,
101,A,17081.8,169.358,0.000,0.000,
102,C,17283.0,0.352,90.682,90.682,
103,A,17404.9,152.546,0.000,0.000,
104,B,17588.5,0.480,100.063,100.063,
105,B,17721.4,0.715,100.065,100.065,
106,A,17854.4,155.740,0.000,0.000,
107,A,18043.7,144.282,0.000,0.000,
108,A,18222.1,153.460,0.000,0.000,
109,C,18406.7,0.361,91.148,91.148,
110,C,18530.0,0.502,96.334,96.334,
111,B,18660.2,100.711,100.063,100.063,
112,B,18894.7,100.733,100.068,100.068,
113,B,19127.5,100.722,100.062,100.062,
114,C,19361.3,0.464,94.080,94.080,
115,C,19492.1,0.425,93.762,93.763,
116,B,19620.2,0.736,100.068,100.069,
117,C,19754.0,0.288,94.781,94.781,
118,B,19880.9,0.576,100.063,100.063,
119,C,20014.2,0.347,96.019,96.020,
120,A,20142.9,158.714,0.000,0.000,
121,B,20333.3,0.516,100.063,100.063,
122,A,20466.1,154.160,0.000,0.000,
123,C,20651.6,100.432,97.756,97.756,
124,A,20885.0,155.880,0.000,0.000,
125,A,21072.0,154.266,0.000,0.000,
